mismatch_type,entity,key,field,parquet_value,database_value,normalized_parquet_value,normalized_database_value,waived,waiver_reason
value_mismatch,club_memberships,"{""id"": 36}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 62}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 381}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 1026}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 1149}",membership_type,Member,member,Member,member,False,
value_mismatch,club_memberships,"{""id"": 1482}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 1744}",membership_type,Member,member,Member,member,False,
value_mismatch,club_memberships,"{""id"": 1991}",membership_type,Member,member,Member,member,False,
value_mismatch,club_memberships,"{""id"": 2634}",membership_type,Member,member,Member,member,False,
value_mismatch,club_memberships,"{""id"": 2681}",membership_type,SECONDARY,secondary,SECONDARY,secondary,False,
value_mismatch,club_memberships,"{""id"": 3485}",membership_type,MEMBER,member,MEMBER,member,False,
value_mismatch,club_memberships,"{""id"": 3648}",membership_type,Member,member,Member,member,False,
value_mismatch,club_memberships,"{""id"": 3653}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 3729}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 4204}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 4263}",membership_type,MEMBER,member,MEMBER,member,False,
value_mismatch,club_memberships,"{""id"": 4647}",membership_type,,secondary,,secondary,False,
value_mismatch,club_memberships,"{""id"": 4718}",membership_type,Member,member,Member,member,False,
value_mismatch,club_memberships,"{""id"": 4941}",membership_type,Member,member,Member,member,False,
value_mismatch,club_memberships,"{""id"": 5027}",membership_type,SECONDARY,secondary,SECONDARY,secondary,False,
value_mismatch,club_memberships,"{""id"": 5043}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 5355}",membership_type,,member,,member,False,
value_mismatch,club_memberships,"{""id"": 5384}",membership_type,MEMBER,member,MEMBER,member,False,
value_mismatch,club_memberships,"{""id"": 5547}",membership_type,,member,,member,False,
