mismatch_type,entity,key,field,parquet_value,database_value,normalized_parquet_value,normalized_database_value,waived,waiver_reason
value_mismatch,clubs,"{""id"": 20083}",club_type,dedicated facility,dedicated_facility,dedicated facility,dedicated_facility,False,
value_mismatch,clubs,"{""id"": 20113}",club_name, Manitoba Lakes Paddle Club,Manitoba Lakes Paddle Club, Manitoba Lakes Paddle Club,Manitoba Lakes Paddle Club,False,
value_mismatch,clubs,"{""id"": 20117}",club_name,Uptown Center ,Uptown Center,Uptown Center ,Uptown Center,False,
value_mismatch,clubs,"{""id"": 20126}",competitiveness_level,RECREATIONAL,recreational,RECREATIONAL,recreational,False,
value_mismatch,clubs,"{""id"": 20148}",club_type,,private_club,,private_club,False,
value_mismatch,clubs,"{""id"": 20174}",competitiveness_level,MIXED,mixed,MIXED,mixed,False,
value_mismatch,clubs,"{""id"": 20189}",competitiveness_level,COMPETITIVE,competitive,COMPETITIVE,competitive,False,
value_mismatch,clubs,"{""id"": 20193}",competitiveness_level,,recreational,,recreational,False,
value_mismatch,clubs,"{""id"": 20200}",club_name, Prime Time Court Paddle Club,Prime Time Court Paddle Club, Prime Time Court Paddle Club,Prime Time Court Paddle Club,False,
value_mismatch,clubs,"{""id"": 20201}",club_name, Niagara Dink Racquet & Paddle Club,Niagara Dink Racquet & Paddle Club, Niagara Dink Racquet & Paddle Club,Niagara Dink Racquet & Paddle Club,False,
value_mismatch,clubs,"{""id"": 20209}",club_type,,municipal_recreation,,municipal_recreation,False,
value_mismatch,clubs,"{""id"": 20210}",club_type,,dedicated_facility,,dedicated_facility,False,
value_mismatch,clubs,"{""id"": 20228}",competitiveness_level,,elite,,elite,False,
value_mismatch,clubs,"{""id"": 20233}",club_name,Golden Paddle Rec Club ,Golden Paddle Rec Club,Golden Paddle Rec Club ,Golden Paddle Rec Club,False,
value_mismatch,clubs,"{""id"": 20295}",competitiveness_level,,competitive,,competitive,False,
value_mismatch,clubs,"{""id"": 20348}",competitiveness_level,,mixed,,mixed,False,
value_mismatch,clubs,"{""id"": 20449}",club_type,,private_club,,private_club,False,
value_mismatch,clubs,"{""id"": 20518}",club_type,,dedicated_facility,,dedicated_facility,False,
value_mismatch,clubs,"{""id"": 20533}",competitiveness_level,,recreational,,recreational,False,
value_mismatch,clubs,"{""id"": 20539}",competitiveness_level,,competitive,,competitive,False,
value_mismatch,clubs,"{""id"": 20604}",competitiveness_level,RECREATIONAL,recreational,RECREATIONAL,recreational,False,
value_mismatch,clubs,"{""id"": 20679}",club_name, Central Valley Dink Society,Central Valley Dink Society, Central Valley Dink Society,Central Valley Dink Society,False,
value_mismatch,clubs,"{""id"": 20685}",competitiveness_level,,mixed,,mixed,False,
value_mismatch,clubs,"{""id"": 20729}",competitiveness_level,,competitive,,competitive,False,
value_mismatch,clubs,"{""id"": 20808}",club_name,Pacesetter Serve Club ,Pacesetter Serve Club,Pacesetter Serve Club ,Pacesetter Serve Club,False,
value_mismatch,clubs,"{""id"": 20833}",club_type,,private_club,,private_club,False,
value_mismatch,clubs,"{""id"": 20846}",club_type,,municipal_recreation,,municipal_recreation,False,
value_mismatch,clubs,"{""id"": 20880}",club_name, Classic Racquet & Paddle Club,Classic Racquet & Paddle Club, Classic Racquet & Paddle Club,Classic Racquet & Paddle Club,False,
value_mismatch,clubs,"{""id"": 20900}",club_name,Pacific Coast Dink Pickleball Club ,Pacific Coast Dink Pickleball Club,Pacific Coast Dink Pickleball Club ,Pacific Coast Dink Pickleball Club,False,
value_mismatch,clubs,"{""id"": 20913}",club_name, Ace Point Drop Shot Club,Ace Point Drop Shot Club, Ace Point Drop Shot Club,Ace Point Drop Shot Club,False,
value_mismatch,clubs,"{""id"": 20928}",competitiveness_level,,mixed,,mixed,False,
value_mismatch,clubs,"{""id"": 20938}",club_name, Ace Point Association,Ace Point Association, Ace Point Association,Ace Point Association,False,
value_mismatch,clubs,"{""id"": 20971}",club_name,Sierra Court Crew ,Sierra Court Crew,Sierra Court Crew ,Sierra Court Crew,False,
value_mismatch,clubs,"{""id"": 21076}",club_name, Rocky Mountain Dink Academy,Rocky Mountain Dink Academy, Rocky Mountain Dink Academy,Rocky Mountain Dink Academy,False,
value_mismatch,clubs,"{""id"": 21081}",competitiveness_level,,recreational,,recreational,False,
value_mismatch,clubs,"{""id"": 21130}",club_type,,public_park,,public_park,False,
value_mismatch,clubs,"{""id"": 21180}",competitiveness_level,,mixed,,mixed,False,
value_mismatch,clubs,"{""id"": 21201}",competitiveness_level,,mixed,,mixed,False,
value_mismatch,clubs,"{""id"": 21278}",club_type,,community_center,,community_center,False,
value_mismatch,clubs,"{""id"": 21294}",club_type,dedicated facility,dedicated_facility,dedicated facility,dedicated_facility,False,
value_mismatch,clubs,"{""id"": 21310}",club_name, Parkside Community,Parkside Community, Parkside Community,Parkside Community,False,
value_mismatch,clubs,"{""id"": 21336}",competitiveness_level,,recreational,,recreational,False,
value_mismatch,clubs,"{""id"": 21349}",competitiveness_level,Competitive,competitive,Competitive,competitive,False,
value_mismatch,clubs,"{""id"": 21359}",club_type,community-center,community_center,community-center,community_center,False,
value_mismatch,clubs,"{""id"": 21402}",club_type,,dedicated_facility,,dedicated_facility,False,
value_mismatch,clubs,"{""id"": 21455}",competitiveness_level,Mixed,mixed,Mixed,mixed,False,
value_mismatch,clubs,"{""id"": 21469}",competitiveness_level,,competitive,,competitive,False,
