mismatch_type,entity,key,field,parquet_value,database_value,normalized_parquet_value,normalized_database_value,waived,waiver_reason
value_mismatch,match_games,"{""id"": 243}",actual_team_one_score_share,1.0000,0.7333,1.000000,0.733300,False,
value_mismatch,match_games,"{""id"": 275}",actual_team_one_score_share,0.6230,0.5385,0.623000,0.538500,False,
value_mismatch,match_games,"{""id"": 336}",actual_team_one_score_share,0.3530,0.2143,0.353000,0.214300,False,
value_mismatch,match_games,"{""id"": 644}",actual_team_one_score_share,0.5100,0.4211,0.510000,0.421100,False,
value_mismatch,match_games,"{""id"": 828}",actual_team_one_score_share,0.2500,0.2143,0.250000,0.214300,False,
value_mismatch,match_games,"{""id"": 1290}",actual_team_one_score_share,0.8150,0.6875,0.815000,0.687500,False,
value_mismatch,match_games,"{""id"": 1344}",actual_team_one_score_share,1.0000,0.9167,1.000000,0.916700,False,
value_mismatch,match_games,"{""id"": 1385}",actual_team_one_score_share,0.8720,0.5455,0.872000,0.545500,False,
value_mismatch,match_games,"{""id"": 1904}",actual_team_one_score_share,0.6890,0.4500,0.689000,0.450000,False,
value_mismatch,match_games,"{""id"": 1983}",actual_team_one_score_share,0.4340,0.2667,0.434000,0.266700,False,
value_mismatch,match_games,"{""id"": 2268}",actual_team_one_score_share,1.0000,0.7333,1.000000,0.733300,False,
value_mismatch,match_games,"{""id"": 2503}",actual_team_one_score_share,0.8180,0.5500,0.818000,0.550000,False,
value_mismatch,match_games,"{""id"": 3151}",actual_team_one_score_share,1.0000,0.8462,1.000000,0.846200,False,
value_mismatch,match_games,"{""id"": 3748}",actual_team_one_score_share,0.9340,0.7857,0.934000,0.785700,False,
value_mismatch,match_games,"{""id"": 3875}",actual_team_one_score_share,1.0000,0.6875,1.000000,0.687500,False,
value_mismatch,match_games,"{""id"": 4435}",actual_team_one_score_share,1.0000,0.8462,1.000000,0.846200,False,
value_mismatch,match_games,"{""id"": 4745}",actual_team_one_score_share,0.7110,0.5500,0.711000,0.550000,False,
