mismatch_type,entity,key,field,parquet_value,database_value,normalized_parquet_value,normalized_database_value,waived,waiver_reason
value_mismatch,match_team_players,"{""id"": 4}",player_rating_at_match,1530.430,1530.429,1530.430000,1530.429000,False,
value_mismatch,match_team_players,"{""id"": 56}",player_rating_at_match,1358.200,1358.175,1358.200000,1358.175000,False,
value_mismatch,match_team_players,"{""id"": 382}",player_rating_at_match,1668.990,1668.991,1668.990000,1668.991000,False,
value_mismatch,match_team_players,"{""id"": 457}",player_rating_at_match,1700.400,1700.445,1700.400000,1700.445000,False,
value_mismatch,match_team_players,"{""id"": 714}",player_rating_at_match,1385.100,1385.105,1385.100000,1385.105000,False,
value_mismatch,match_team_players,"{""id"": 1043}",player_rating_at_match,1579.900,1579.937,1579.900000,1579.937000,False,
value_mismatch,match_team_players,"{""id"": 1065}",player_rating_at_match,1433.590,1433.594,1433.590000,1433.594000,False,
value_mismatch,match_team_players,"{""id"": 1218}",player_rating_at_match,1365.600,1365.595,1365.600000,1365.595000,False,
value_mismatch,match_team_players,"{""id"": 1657}",player_rating_at_match,1086.240,1086.242,1086.240000,1086.242000,False,
value_mismatch,match_team_players,"{""id"": 2654}",player_rating_at_match,1723.600,1723.615,1723.600000,1723.615000,False,
value_mismatch,match_team_players,"{""id"": 3120}",player_rating_at_match,1838.340,1838.338,1838.340000,1838.338000,False,
value_mismatch,match_team_players,"{""id"": 3218}",player_rating_at_match,1375.470,1375.471,1375.470000,1375.471000,False,
value_mismatch,match_team_players,"{""id"": 3997}",player_rating_at_match,1467.300,1467.271,1467.300000,1467.271000,False,
value_mismatch,match_team_players,"{""id"": 4544}",player_rating_at_match,1336.100,1336.105,1336.100000,1336.105000,False,
value_mismatch,match_team_players,"{""id"": 4815}",player_rating_at_match,1552.000,1551.988,1552.000000,1551.988000,False,
value_mismatch,match_team_players,"{""id"": 4819}",player_rating_at_match,1249.000,1248.998,1249.000000,1248.998000,False,
value_mismatch,match_team_players,"{""id"": 4879}",player_rating_at_match,1614.100,1614.072,1614.100000,1614.072000,False,
value_mismatch,match_team_players,"{""id"": 5274}",player_rating_at_match,1448.020,1448.024,1448.020000,1448.024000,False,
value_mismatch,match_team_players,"{""id"": 5671}",player_rating_at_match,1464.800,1464.766,1464.800000,1464.766000,False,
value_mismatch,match_team_players,"{""id"": 6091}",player_rating_at_match,1370.800,1370.755,1370.800000,1370.755000,False,
value_mismatch,match_team_players,"{""id"": 6235}",player_rating_at_match,1340.680,1340.676,1340.680000,1340.676000,False,
value_mismatch,match_team_players,"{""id"": 6437}",player_rating_at_match,1508.520,1508.515,1508.520000,1508.515000,False,
value_mismatch,match_team_players,"{""id"": 6500}",player_rating_at_match,1381.620,1381.617,1381.620000,1381.617000,False,
value_mismatch,match_team_players,"{""id"": 6689}",player_rating_at_match,1435.180,1435.181,1435.180000,1435.181000,False,
value_mismatch,match_team_players,"{""id"": 6903}",player_rating_at_match,1491.000,1491.027,1491.000000,1491.027000,False,
value_mismatch,match_team_players,"{""id"": 7134}",player_rating_at_match,1413.460,1413.461,1413.460000,1413.461000,False,
value_mismatch,match_team_players,"{""id"": 7400}",player_rating_at_match,1582.180,1582.181,1582.180000,1582.181000,False,
value_mismatch,match_team_players,"{""id"": 7603}",player_rating_at_match,1226.510,1226.507,1226.510000,1226.507000,False,
value_mismatch,match_team_players,"{""id"": 8514}",player_rating_at_match,1489.200,1489.164,1489.200000,1489.164000,False,
value_mismatch,match_team_players,"{""id"": 8810}",player_rating_at_match,1341.800,1341.775,1341.800000,1341.775000,False,
value_mismatch,match_team_players,"{""id"": 8948}",player_rating_at_match,1439.800,1439.815,1439.800000,1439.815000,False,
value_mismatch,match_team_players,"{""id"": 9169}",player_rating_at_match,1421.300,1421.286,1421.300000,1421.286000,False,
value_mismatch,match_team_players,"{""id"": 9645}",player_rating_at_match,1460.390,1460.392,1460.390000,1460.392000,False,
value_mismatch,match_team_players,"{""id"": 9885}",player_rating_at_match,1660.100,1660.091,1660.100000,1660.091000,False,
value_mismatch,match_team_players,"{""id"": 9973}",player_rating_at_match,1386.320,1386.315,1386.320000,1386.315000,False,
value_mismatch,match_team_players,"{""id"": 10426}",player_rating_at_match,1464.610,1464.606,1464.610000,1464.606000,False,
value_mismatch,match_team_players,"{""id"": 10780}",player_rating_at_match,1585.900,1585.901,1585.900000,1585.901000,False,
value_mismatch,match_team_players,"{""id"": 11080}",player_rating_at_match,1436.800,1436.758,1436.800000,1436.758000,False,
value_mismatch,match_team_players,"{""id"": 11117}",player_rating_at_match,1408.600,1408.602,1408.600000,1408.602000,False,
value_mismatch,match_team_players,"{""id"": 12184}",player_rating_at_match,1663.360,1663.363,1663.360000,1663.363000,False,
value_mismatch,match_team_players,"{""id"": 12448}",player_rating_at_match,1560.820,1560.815,1560.820000,1560.815000,False,
value_mismatch,match_team_players,"{""id"": 13037}",player_rating_at_match,1434.740,1434.744,1434.740000,1434.744000,False,
value_mismatch,match_team_players,"{""id"": 13201}",player_rating_at_match,1454.870,1454.871,1454.870000,1454.871000,False,
