club_seed_id,country,state_province_code,state_province_name,club_name,club_type,size_tier,generation_method
1,US,AL,Alabama,Heart of Dixie Pickleball Community,Private Athletic Club,Small,ai_seed_template_v1
2,US,AL,Alabama,Gulf Shores Pickleball Paddle Club,Public Park Club,Tiny,ai_seed_template_v1
3,US,AL,Alabama,Gulf Shores Court Academy,Indoor Facility Club,Tiny,ai_seed_template_v1
4,US,AL,Alabama,Cotton State Dink Club,League Organization,Tiny,ai_seed_template_v1
5,US,AL,Alabama,Cotton State Dink League,Community Recreation Club,Small,ai_seed_template_v1
6,US,AL,Alabama,Magnolia Court Club,Community Recreation Club,Large,ai_seed_template_v1
7,US,AL,Alabama,Gulf Shores Rally Racquet & Paddle Club,Retirement Community Club,Small,ai_seed_template_v1
8,US,AL,Alabama,Riverbend Pickleball Community,Community Recreation Club,Small,ai_seed_template_v1
9,US,AL,Alabama,Cotton State Rally Association,Retirement Community Club,Small,ai_seed_template_v1
10,US,AL,Alabama,Community Lob League,Tournament Club,Small,ai_seed_template_v1
11,US,AL,Alabama,Birmingham Pickleball Club,League Organization,Medium,ai_seed_template_v1
12,US,AL,Alabama,Riverbend Dink Club,Competitive Training Club,Tiny,ai_seed_template_v1
13,US,AL,Alabama,Parkside Dink Pickleball Club,Social Club,Tiny,ai_seed_template_v1
14,US,AL,Alabama,Victory Pickleball Club,Indoor Facility Club,Medium,ai_seed_template_v1
15,US,AL,Alabama,Riverbend Academy,Public Park Club,Medium,ai_seed_template_v1
16,US,AL,Alabama,Pacesetter Pickleball Club,Community Recreation Club,Small,ai_seed_template_v1
17,US,AL,Alabama,Birmingham Court Community,Community Recreation Club,Small,ai_seed_template_v1
18,US,AL,Alabama,Magnolia Pickleball Club,Competitive Training Club,Small,ai_seed_template_v1
19,US,AL,Alabama,Ace Point Serve Community,Tournament Club,Medium,ai_seed_template_v1
20,US,AL,Alabama,Ace Point Pickleball Club,Retirement Community Club,Tiny,ai_seed_template_v1
21,US,AL,Alabama,Premier Pickleball Club,League Organization,Small,ai_seed_template_v1
22,US,AL,Alabama,Magnolia Pickleball Athletic Club,Public Park Club,Tiny,ai_seed_template_v1
23,US,AL,Alabama,Heart of Dixie Rec Club,Tournament Club,Medium,ai_seed_template_v1
24,US,AL,Alabama,Birmingham Court Association,Indoor Facility Club,Large,ai_seed_template_v1
25,US,AL,Alabama,Lakeside Rally Community,Social Club,Medium,ai_seed_template_v1
26,US,AL,Alabama,Riverbend Rally League,Tournament Club,Tiny,ai_seed_template_v1
27,US,AL,Alabama,Heart of Dixie Pickleball Club,Community Recreation Club,Medium,ai_seed_template_v1
28,US,AL,Alabama,Northside Paddle Collective,Retirement Community Club,Small,ai_seed_template_v1
29,US,AL,Alabama,Gulf Shores Paddle Center,Indoor Facility Club,Tiny,ai_seed_template_v1
30,US,AL,Alabama,Birmingham Paddle Society,Public Park Club,Small,ai_seed_template_v1
31,US,AL,Alabama,Southside Society,Retirement Community Club,Tiny,ai_seed_template_v1
32,US,AL,Alabama,Riverbend Paddle Association,Retirement Community Club,Medium,ai_seed_template_v1
33,US,AL,Alabama,Cotton State Racquet & Paddle Club,Public Park Club,Small,ai_seed_template_v1
34,US,AL,Alabama,True North Pickleball Athletic Club,Indoor Facility Club,Small,ai_seed_template_v1
35,US,AL,Alabama,Birmingham Paddle Association,Indoor Facility Club,Tiny,ai_seed_template_v1
36,US,AL,Alabama,Summit Paddle Society,Private Athletic Club,Tiny,ai_seed_template_v1
37,US,AL,Alabama,Heart of Dixie Drop Shot Rec Club,League Organization,Tiny,ai_seed_template_v1
38,US,AL,Alabama,Gulf Shores Side Out Academy,Tournament Club,Tiny,ai_seed_template_v1
39,US,AL,Alabama,Gulf Shores Dink Pickleball Club,Community Recreation Club,Medium,ai_seed_template_v1
40,US,AL,Alabama,Gulf Shores Club,Indoor Facility Club,Small,ai_seed_template_v1
41,US,AL,Alabama,Magnolia Pickleball Collective,Competitive Training Club,Small,ai_seed_template_v1
42,US,AL,Alabama,Magnolia Third Shot Crew,Social Club,Small,ai_seed_template_v1
43,US,AL,Alabama,Heart of Dixie Court Academy,Competitive Training Club,Tiny,ai_seed_template_v1
44,US,AL,Alabama,Next Point Rally Crew,Social Club,Medium,ai_seed_template_v1
45,US,AL,Alabama,Gulf Shores Baseline Pickleball Club,Tournament Club,Tiny,ai_seed_template_v1
46,US,AL,Alabama,Riverbend Court League,Private Athletic Club,Tiny,ai_seed_template_v1
47,US,AL,Alabama,Red Mountain Court Collective,Social Club,Tiny,ai_seed_template_v1
48,US,AL,Alabama,Victory Baseline Association,Social Club,Small,ai_seed_template_v1
49,US,AL,Alabama,Heart of Dixie Court League,Public Park Club,Medium,ai_seed_template_v1
